1,USA
2,Canada
3,Denmark
4,Egypt
5,England
6,France
7,Germany
8,Jamaica
9,Luxembourg
10,Scotland
11,Spain
12,Sweden
13,The Netherlands
14,The Netherlands
15,West Germany
