124,The Palladium,New York,34,1
125,Field House - Seneca College,Toronto,53,2
126,Community War Memorial,Rochester,34,1
127,Veteran's Memorial Coliseum,Jacksonville,11,1
128,Cassell Coliseum - Virginia Polytechnic,Blacksburg,48,1
129,Huntington Civic Center,Huntington,50,1
130,Gizah Sound and Light Theater,Cairo,0,4
131,West High Auditorium,Anchorage,3,1
132,Warfield Theater,San Francisco,6,1
133,Patrick Gym - UVM,Burlington,47,1
134,Marin County Veterans Auditorium,San Rafael,6,1
135,Augusta Civic Center,Augusta,21,1
136,Carrier Dome - Syracuse University,Syracuse,34,1
137,Carolina Coliseum Arena - U. of S.C.,Columbia,42,1
138,Henry J. Kaiser Convention Center,Oakland,6,1
139,Silver Stadium,Rochester,34,1
140,Laguna Seca Recreation Area,Monterey,6,1
141,Capital Centre,Landover,22,1
142,Great Western Forum,Inglewood,6,1
143,California State U. Dominguez Hills,Carson,6,1
144,Buckeye Lake Music Center,Hebron,37,1
145,Rosemont Horizon,Rosemont,15,1
146,The Palace,Auburn Hills,24,1
147,Delta Center,Salt Lake City,46,1
148,Tampa Stadium,Tampa,11,1
149,Shrine Exhibition Hall,Los Angeles,6,1
150,Eureka Municipal Auditorium,Eureka,6,1
151,Boston Tea Party,Boston,23,1
152,The Warehouse,New Orleans,20,1
153,Field House - U. of Cincinnati,Cincinnati,37,1
154,Merramec Community College,Kirkwood,27,1
155,Manhattan Center,New York,34,1
156,Lusk Field House - S.U.C.N.Y.,Cortland,34,1
157,Wallace Wade Stadium - Duke University,Durham,35,1
158,Taft Auditorium,Cincinnati,37,1
159,Academy of Music,New York,34,1
160,The Palace Theater,Waterbury,8,1
161,Cleveland Public Hall,Cleveland,37,1
162,Pershing Municipal Auditorium,Lincoln,56,1
163,Hec. S. Edmundson Pavilion - U. of Wa.,Seattle,49,1
164,Campus Stadium - U.C.S.B.,Santa Barbara,6,1
165,Tower Theatre,Upper Darby,40,1
166,St. Louis Arena,St. Louis,27,1
167,Cobo Arena,Detroit,24,1
168,Cotterell Gym - Colgate University,Hamilton,34,1
169,Uni-Dome - U. of Northern Iowa,Cedar Falls,17,1
170,Horton Field House - Il. U.,Normal,15,1
171,Uptown Theatre,Chicago,15,1
172,St. Paul Civic Center Arena,St. Paul,25,1
173,Recreation Center,Mill Valley,6,1
174,Baltimore Civic Center,Baltimore,22,1
175,County Fairgrounds,Ventura,6,1
176,Saenger Performing Arts Center,New Orleans,20,1
177,San Francisco Civic Auditorium,San Francisco,6,1
178,Kingswood Music Theatre,Maple,53,2
179,Devore Field - Southwestern Col.,Chula Vista,6,1
180,Calaveras County Fairgrounds,Angel's Camp,6,1
181,World Music Theatre,Tinley Park,15,1
182,Richfield Coliseum,Richfield,37,1
183,Trouper's Club,Los Angeles,6,1
184,Polo Field - Golden Gate Park,San Francisco,6,1
185,Straight Theater,San Francisco,6,1
186,Eagles Auditorium,Seattle,49,1
187,Crystal Ballroom,Portland,39,1
188,Haight Street,San Francisco,6,1
189,Ice Palace,Las Vegas,30,1
190,Fresno Convention Center,Fresno,6,1
191,Central Park,New York,34,1
192,Gallagher Estate,Norwalk,8,1
193,NY State Pavilion - Flushing Meadow Pk,Queens,34,1
194,Golden Hall - Community Concourse,San Diego,6,1
195,Mammoth Gardens,Denver,7,1
196,Dupont Gymnasium - M.I.T.,Cambridge,23,1
197,Canadian National Exhibition Hall,Toronto,53,2
198,Tyrone Guthrie Theatre,Minneapolis,25,1
199,Freeborn Hall - U. of California,Davis,6,1
200,Bangor Municipal Auditorium,Bangor,21,1
201,Yale Bowl - Yale University,New Haven,8,1
202,Gaelic Park,Bronx,34,1
203,Northrop Auditorium - U. of Minn.,Minneapolis,25,1
204,Wembley Empire Pool,London,0,5
205,Rheinhalle,Duesseldorf,0,14
206,Jahrhundert Halle,Frankfurt,0,14
207,Musikhalle,Hamburg,0,14
208,Olympia Theater,Paris,0,6
209,Concertgebouw,Amsterdam,0,13
210,Kongressaal - Deutsches Museum,Muenchen,0,14
211,Stanley Theatre,Jersey City,32,1
212,Oklahoma City Music Hall,Oklahoma City,38,1
213,Long Beach Arena,Long Beach,6,1
214,International Amphitheatre,Chicago,15,1
215,Utica Memorial Auditorium,Utica,34,1
216,Grand Prix Racecourse,Watkins Glen,34,1
217,San Diego Sports Arena,San Diego,6,1
218,Denver Coliseum,Denver,7,1
219,Feyline Field,Tempe,4,1
220,Cleveland Convention Center,Cleveland,37,1
221,Adams Field House - U. of Montana,Missoula,28,1
222,Roanoke Civic Center,Roanoke,48,1
223,Alexandra Palace,London,0,5
224,Colt Park,Hartford,8,1
225,Cameron Indoor Stadium - Duke U.,Durham,35,1
226,Onondaga County War Memorial,Syracuse,34,1
227,St. John Arena,Columbus,37,1
228,Lakeland Civic Center Arena,Lakeland,11,1
229,Moody Coliseum - S.M.U.,Dallas,45,1
230,Assembly Hall - Indiana U.,Bloomington,16,1
231,Shrine Auditorium,Los Angeles,6,1
232,Field House - Rensselaer Polytechnic,Troy,34,1
233,Shea's Buffalo Theatre,Buffalo,34,1
234,Recreation Hall - Penn. State U.,State College,40,1
235,Billerica Forum,Billerica,23,1
236,Metropolitan Center,Minneapolis,25,1
237,Folsom Field - University of Colorado,Boulder,7,1
238,Alligator Alley Gym - U. of Fl.,Gainesville,11,1
239,Cole Field House - U. of Maryland,College Park,22,1
240,Rainbow Theater,London,0,5
241,Manor Downs,Austin,45,1
242,Kansas City Municipal Auditorium Arena,Kansas City,27,1
243,Sports Palace,Barcelona,0,11
244,Glens Falls Civic Center,Glens Falls,34,1
245,Cumberland County Civic Center,Portland,21,1
246,Aladdin Theatre,Las Vegas,30,1
247,Alfond Arena - U. of Maine,Orono,21,1
248,Poplar Creek Music Theatre,Hoffman Estates,15,1
249,Silva Hall - Hult Center,Eugene,39,1
250,Park West Ski Resort,Park West,46,1
251,Downs of Santa Fe,Santa Fe,33,1
252,Irvine Meadows Amphitheatre,Irvine,6,1
253,Blossom Music Center,Cuyahoga Falls,37,1
254,Pittsburgh Civic Arena,Pittsburgh,40,1
255,Southern Star Amphitheatre,Houston,45,1
256,Zoo Amphitheatre,Oklahoma City,38,1
257,Hubert H. Humphrey Metrodome,Minneapolis,25,1
258,John F. Kennedy Stadium,Philadelphia,40,1
259,Compton Terrace Amphitheatre,Chandler,4,1
260,Metropolitan Sports Center,Bloomington,25,1
261,Bayfront Center Arena,St. Petersburg,11,1
262,Riverfront Arena,Cincinnati,37,1
263,The Mecca,Milwaukee,51,1
264,Sullivan Stadium,Foxboro,23,1
265,Cardinal Stadium,Louisville,19,1
266,Foxboro Stadium,Foxboro,23,1
267,Star Lake Amphitheatre,Burgettstown,40,1
268,Franklin County Field,Highgate,47,1
269,USAir Arena,Landover,22,1
270,Portland Meadows,Portland,39,1
271,Magoo's Pizza Parlor,Menlo Park,6,1
272,Frenchy's,Hayward,6,1
273,Big Nig's House,San Jose,6,1
274,The Big Beat,Palo Alto,6,1
275,Muir Beach Lodge,Muir Beach,6,1
276,Longshoreman's Hall,San Francisco,6,1
277,Northridge Unitarian Church,Los Angeles,6,1
278,Youth Opportunities Center,Compton,6,1
279,Ivar Theater,Los Angeles,6,1
280,A. I. A. A. Hall,Los Angeles,6,1
281,Danish Center,Los Angeles,6,1
282,Carthay Studios,Los Angeles,6,1
283,Harmon Gym - U. of California,Berkeley,6,1
284,Veterans Memorial Hall,Berkeley,6,1
285,Rancho Olompali,Novato,6,1
286,Unknown Location,San Francisco,6,1
287,California Hall,San Francisco,6,1
288,Veterans Hall,San Jose,6,1
289,Santa Venetia Armory,San Rafael,6,1
290,P.N.E. Garden Auditorium,Vancouver,58,2
291,Afterthought,Vancouver,58,2
292,I.D.E.S. Hall,Pescadero,6,1
293,La Dolphine,Hillsborough,6,1
294,Pioneer Ballroom,Suisun City,6,1
295,Commons - S. F. State College,San Francisco,6,1
296,Golden Gate Park,San Francisco,6,1
297,TMU Deck - Stanford University,Palo Alto,6,1
298,The Heliport,Sausalito,6,1
299,Las Lomas High School,Walnut Creek,6,1
300,The North Face Ski Shop,Berkeley,6,1
301,The Old Cheese Factory,San Francisco,6,1
302,Pauley Ballroom - U. of California,Berkeley,6,1
303,Continental Ballroom,Santa Clara,6,1
304,Governor's Hall,Sacramento,6,1
305,Panhandle - Golden Gate Park,San Francisco,6,1
306,Santa Monica Civic Auditorium,Santa Monica,6,1
307,Whiskey-A-Go-Go,San Francisco,6,1
308,Fugazi Hall,San Francisco,6,1
309,The Rock Garden,San Francisco,6,1
