1,31,3,"2: Good Lovin> China Cat> I Know You Rider> Good Lovin/, Ramble On/, Sugar Magnolia/, NFA> GDTRFB> NFA"1,4,"E: Saturday Night"
2,32,3,"2: Scarlet> Fire/, Estimated/, St. Stephen> NFA> St. Stephen> Morning Dew"2,4,"E: Saturday Night"
3,34,4,"Electric"4,5,"2: Dark Star**> Cryptical**> Drums**> Other One**> Cryptical**> Lovelight** E: We Bid You Goodnight"
4,4,"Electric-2: Dark Star**> Cryptical**> Drums**> Other One**> Cryptical**> Lovelight**"4,5,"E: We Bid You Goodnight"
