1,1972-01-02,01-02-72,0.00,602,0,1,5,
2,1977-05-08,05-08-77,985,1,1,1,3,
3,1972-08-27,08-27-72,769,2,2,1,-1,
4,1970-02-13,02-13-70b,525,3,3,0,-1,*appears on Bear's Choice **appears on Dick's Picks Vol 411:30 show - first Wake Up Little Susie - Bear's Choice shows - billing: GD; Allman Brothers Band; Love
5,1970-05-02,05-02-70,556,4,4,1,-1,I Own this on CD
6,1990-03-29,03-29-90,1911,5,5,1,-1,*with Branford Marsalis Eyes appears on Without A Net
7,1989-10-09,10-09-89,1876,6,6,1,-1,
8,1969-03-01,03-01-69,384,7,7,1,-1,
9,1978-12-31,12-31-78,1107,602,8,0,-1,Grateful Dead - Closing of Winterland CD
10,1971-04-29,04-29-71,681,3,9,1,-1,
11,1991-09-10,09-10-91,2026,8,10,1,-1,
12,1977-05-09,05-09-77,986,9,11,1,-1,
13,1978-07-08,07-08-78,1075,10,12,1,-1,
14,1989-10-16,10-16-89,1881,11,13,1,-1,
15,1970-02-14,02-14-70b,527,3,14,0,-1,some*appears on Bear's Choice **appears on Dick's Picks Vol 4
16,1974-06-28,06-28-74,900,12,15,0,-1,show is featured on Dick's Picks 12
17,1969-02-28,02-28-69,383,7,16,1,-1,
18,1973-05-26,05-26-73,833,13,17,1,-1,
19,1977-11-06,11-06-77,1023,14,18,1,-1,
20,1971-02-18,02-18-71,646,15,19,1,-1,
21,1971-04-28,04-28-71,680,3,20,1,-1,FTP also has NRPS
22,1973-06-10,06-10-73,835,16,21,1,5,
23,1974-10-18,10-18-74,920,602,22,1,-1,parts on steal your face
24,1972-05-11,05-11-72,748,17,23,1,-1,
25,1973-02-15,02-15-73,812,18,24,1,2,
26,1977-02-26,02-26-77,968,19,25,1,4,
27,1979-10-27,10-27-79,1154,20,26,1,-1,
28,1973-02-09,02-09-73,811,21,27,1,-1,
29,1990-09-20,09-20-90,1948,8,28,1,-1,
30,1974-05-19,05-19-74,890,22,29,1,-1,
31,1974-06-18,06-18-74,895,23,30,1,-1,
32,1974-10-19,10-19-74,921,602,31,0,-1,also Aud mix available
33,1977-06-09,06-09-77,1002,602,32,1,-1,
34,1991-10-31,10-31-91,2042,24,33,1,-1,
35,1995-03-23,03-23-95,2278,25,34,1,-1,1995 maybe best of the end
36,1972-05-26,05-26-72,755,26,35,1,-1,
37,1985-11-01,11-01-85,1598,27,36,1,-1,Dicks Picks 21
38,1974-02-24,02-24-74,885,602,37,1,-1,
39,1975-08-13,08-13-75,925,28,38,0,-1,Not available
40,1984-07-13,07-13-84,1517,29,39,1,-1,
41,1990-03-24,03-24-90,1907,30,40,0,-1,Dozin at the Knick. 
42,1968-02-14,02-14-68,248,31,41,1,-1,
43,1985-06-28,06-28-85,1575,32,42,1,-1,
44,1991-09-26,09-26-91,2038,12,43,1,-1,
45,1993-09-22,09-22-93,2169,8,44,1,-1,Row 2 Aud Also available
46,1971-11-07,11-07-71,707,33,45,1,-1,
47,1991-06-14,06-14-91,2006,16,46,1,-1,
48,1994-10-14,10-14-94,2252,8,47,1,-1,
49,1969-11-08,11-08-69,483,34,48,0,-1,dicks pick 16
50,1974-06-26,06-26-74,899,35,49,0,-1,dicks pick 12
51,1977-05-07,05-07-77,984,12,50,1,5,
52,1995-03-19,03-19-95,2276,36,51,1,-1,
53,1968-10-30,10-30-68,330,37,52,1,-1,
54,1970-02-11,02-11-70b,522,3,53,1,-1,
55,1970-05-15,05-15-70a,564,3,54,1,-1,included on late set FTP also NRPS
56,1970-05-15,05-15-70b,565,3,54,1,-1,includes early set Also NRPS
57,1970-09-20,09-20-70,602,3,55,1,-1,
58,1985-06-30,06-30-85,1576,38,56,1,-1,Dled 2 other versions
59,1987-09-18,09-18-87,1725,8,57,1,-1,2 other versions
60,1990-09-19,09-19-90,1947,8,58,1,-1,
61,1993-05-16,05-16-93,2131,39,59,1,-1,
62,1995-07-09,07-09-95,2314,40,60,1,-1,
63,1970-09-19,09-19-70,601,3,61,1,-1,
64,1976-07-18,07-18-76,951,41,62,1,-1,
65,1977-10-02,10-02-77,1007,42,63,1,-1,
66,1990-07-12,07-12-90,1930,16,64,1,-1,
67,1991-08-16,08-16-91,2018,43,65,1,-1,
68,1993-03-24,03-24-93,2119,44,66,1,-1,
69,1971-04-17,04-17-71,672,45,67,1,-1,
70,1973-11-17,11-17-73,868,46,68,1,-1,
71,1973-12-02,12-02-73,875,47,69,0,-1,
72,1977-05-19,05-19-77,993,48,70,0,-1,
73,1977-09-03,09-03-77,1003,49,71,0,-1,
74,1980-10-31,10-31-80,1255,50,72,1,-1,
75,1989-05-06,05-06-89,1849,51,73,1,-1,
76,1989-10-08,10-08-89,1875,6,74,1,-1,
77,1993-08-21,08-21-93,2153,52,75,1,-1,
78,1993-09-13,09-13-93,2162,36,76,0,-1,
79,1969-02-22,02-22-69,380,53,77,0,-1,
80,1969-04-22,04-22-69,404,54,78,0,-1,
81,1970-11-08,11-08-70,622,15,79,0,-1,
82,1979-12-26,12-26-79,1178,55,80,0,-1,
83,1987-12-31,12-31-87,1743,24,81,0,-1,
84,1991-06-17,06-17-91,2008,56,82,0,-1,
85,1992-05-31,05-31-92,2076,39,83,0,-1,
86,1992-06-20,06-20-92,2086,16,84,0,-1,
87,1993-08-22,08-22-93,2154,52,85,0,-1,
88,1995-06-25,06-25-95,2306,16,86,0,-1,
89,1966-07-16,07-16-66,57,34,87,0,-1,
90,1966-11-19,11-19-66,98,34,88,0,-1,
91,1968-09-02,09-02-68,317,57,89,0,-1,
92,1970-05-06,05-06-70,558,58,90,0,-1,
93,1971-07-02,07-02-71,685,7,91,0,-1,
94,1977-03-18,03-18-77,970,602,92,0,-1,
95,1977-05-05,05-05-77,983,59,93,0,-1,
96,1978-07-07,07-07-78,1074,10,94,0,-1,
97,1978-10-21,10-21-78,1085,602,95,0,-1,
98,1978-11-24,11-24-78,1095,60,96,0,-1,
99,1979-12-01,12-01-79,1170,61,97,1,-1,Available SATNight only FTP - Incomplete
100,1980-09-06,09-06-80,1230,62,98,0,-1,Available SATNight 1st Set only
101,1981-10-16,10-16-81,1334,63,99,0,-1,
102,1989-07-17,07-17-89,1863,64,100,0,-1,
103,1993-05-27,05-27-93,2137,65,101,0,-1,
104,1994-07-20,07-20-94,2225,66,102,1,-1,
105,1994-10-01,10-01-94,2242,12,103,0,-1,
106,1966-07-17,07-17-66,58,34,104,1,-1,The version I have is in conflict with DeadBase
107,1968-10-09,10-09-68,322,37,105,0,-1,
108,1970-06-24,06-24-70a,578,15,107,0,-1,
109,1970-06-24,06-24-70b,579,15,107,0,-1,
110,1972-12-31,12-31-72,810,602,108,1,-1,
111,1973-11-11,11-11-73,866,602,109,0,-1,
112,1974-06-16,06-16-74,894,67,110,0,-1,
